Layer,Weights,MACs,Weight_Sparsity,Activation_Sparsity
features.0,1728,86704128,34.3171%,31.2505%
features.3,36864,1849688064,40.8203%,3.1252%
features.7,73728,924844032,22.0744%,15.6251%
features.10,147456,1849688064,23.1174%,3.9065%
features.14,294912,924844032,11.2169%,3.5159%
features.17,589824,1849688064,8.3360%,0.0001%
features.20,589824,1849688064,4.4908%,0.0001%
features.24,1179648,924844032,5.0461%,0.0007%
features.27,2359296,1849688064,6.2008%,0.0002%
features.30,2359296,1849688064,6.9731%,0.0002%
features.34,2359296,462422016,5.3971%,0.0010%
features.37,2359296,462422016,5.1366%,0.0000%
features.40,2359296,462422016,6.2414%,0.3906%
classifier.0,102760448,102760448,21.5386%,3.4912%
classifier.3,16777216,16777216,14.1611%,2.0752%
classifier.6,4096000,4096000,6.3053%,0.0000%
