Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.3431712962962963	128 x 32	4096
2	0.408203125	128 x 32	4096
3	0.2207438151041666	128 x 32	4096
4	0.2311740451388889	128 x 32	4096
5	0.11216905381944442	128 x 32	4096
6	0.0833604600694444	128 x 32	4096
7	0.044908311631944406	128 x 32	4096
8	0.0504608154296875	128 x 32	4096
9	0.0620083279079861	128 x 32	4096
10	0.0697313944498698	128 x 32	4096
11	0.05397076076931421	128 x 32	4096
12	0.05136617024739581	128 x 32	4096
13	0.0624139573838975	128 x 32	4096
14	0.2153863322978117	128 x 32	4096
15	0.1416109800338745	128 x 32	4096
16	0.063052734375	128 x 32	4096
